"name"	"number"
"  198、计算机病毒主要通过途径传播。出题：中国科普研究所  A、电源  B、中央处理器CPU  C、磁盘与网络  D、显卡  "	"C磁盘与网络"
"  199、下列诗句中与纸上得来终觉浅同出自一首诗的是。  A、少壮工夫老始成  B、九州生气恃风雷  C、繁霜尽是心头血  D、东方风来满眼春  "	"A少壮工夫老始成"
"  200、在康熙皇帝的大力支持下自1690年到1721年编成的是一部介绍西方数学知识的百科全书。出题：山东科技报社  推荐：山东学习平台  A、《祟祯历书》  B、《数理精蕴》  C、《数学要义》  D、《晓庵新法》  "	"B《数理精蕴》"
"  201、风急天高猿啸哀渚清沙白鸟飞回。无边落木萧萧下不尽长江滚滚来。是唐代诗人杜甫所作中的前四句。出题：重庆市委直属机关工委  推荐：重庆学习平台  A、《秋兴八首》  B、《负薪行》  C、《登高》  D、《八阵图》  "	"C《登高》"
"  202、2018年月日中共中央总书记、国家主席、中央军委主席习近平在人民大会堂向国家综合性消防救援队伍授旗并致训词。出题：应急管理部消防救援局  A、1   19  B、11  9  C、11  1  "	"B11"
"  203、机关、单位应当根据涉密信息系统确定系统的密级并按照分级保护要求采取相应的安全保密防护措施。出题：重庆市委直属机关工委  推荐：重庆学习平台  A、承办人拟定的最高密级  B、定密责任人确定的最高密级  C、存储、处理信息的最高密级  D、涉密人员确定的最高密级  "	"C存储、处理信息的最高密级"
"  204、我国的宪法日是。出题：武汉大学  推荐：湖北学习平台  A、12月1日  B、12月2日  C、12月3日  D、12月4日  "	"D12月4日"
"  205、海军编制的舰和艇是按来区分的。出题：中国人民解放军海军诞生地纪念馆  推荐：江苏学习平台  A、排水量  B、尺寸  C、导弹数质量  D、编制人员  "	"A排水量"
"  206、有志者、事竟成破釜沉舟百二秦关终属楚；苦心人、天不负卧薪尝胆三千越甲可吞吴。此联所涉及的历史事件分别发生在。出题：新疆兵团第四师党委宣传部  推荐：新疆兵团学习平台  A、春秋和战国  B、秦末和春秋  C、战国和三国  "	"B秦末和春秋"
"  207、按照广义相对论爱因斯坦曾预言了三个重要效应下面不是爱因斯坦所预言的。出题：安徽农业大学  推荐：安徽学习平台  A、光线在引力场中的偏转  B、水星轨道近日点的进动  C、中子星的周期性脉冲辐射  D、光谱线的红向移动  "	"C中子星的周期性脉冲辐射"
"  208、位于江苏省苏州市吴江区的是江南六大名镇之一至今已有1000多年历史镇内家家临水户户通舟明清民居鳞次栉比以小桥流水人家的格局赢得东方小威尼斯的美誉。出题：苏州市吴江区委宣传部  推荐：江苏学习平台  A、同里  B、周庄  C、黎里  "	"A同里"
"  209、2013年11月9日至12日习近平总书记在十八届三中全会上作的关于《中共中央关于全面深化改革若干重大问题的决定》的说明中指出经济发展就是要提高资源尤其是稀缺资源的配置效率以尽可能少的资源投入生产尽可能多的产品、获得尽可能大的效益。理论和实践都证明配置资源是最有效率的形式。  A、政府  B、市场  C、计划  "	"B市场"
"  210、雄关漫道真如铁而今迈步从头越是毛泽东主席名作《忆秦娥•娄山关》中的一句词。忆秦娥是这首词的。出题：中共连云港市委宣传部  推荐：江苏学习平台  A、标题  B、小序  C、曲牌  D、词牌  "	"D词牌"
"  211、中科大潘建伟教授团队与合作者利用量子科学实验卫星首次实现距离达7600公里的洲际量子密钥分发实现加密数据传输和视频通信。出题：上海市奉贤区政府办公室  推荐：上海学习平台  A、悟空号  B、墨子号  C、天宫二号  D、神舟十一号  "	"B墨子号"
"  212、晚清中兴四大名臣之一任湖广总督期间先后创办了自强学堂今武汉大学前身、汉阳铁厂、湖北枪炮厂、湖北纺织官局等。光绪三十年1905年提议废止科举推行学校制次年在中国经历了一千三百年的科举制至此由清政府宣布废止。出题：武汉大学  推荐：湖北学习平台  A、曾国藩  B、李鸿章  C、张之洞  D、左宗棠  "	"C张之洞"
"  213、绥芬河从我国流入境内。出题：自然资源部地信司  中国地图出版集团  A、俄罗斯  B、朝鲜  "	"A俄罗斯"
"  214、位于福建东南唐朝时为世界四大口岸之一宋元时期为东方第一大港被联合国唯一认定为海上丝绸之路起点的城市是。出题：福建学习平台  A、福州  B、厦门  C、泉州  D、广州  "	"C泉州"
"  215、为实现车载视频数据的自动无线高速下载中车株洲所与华为公司合作开发出了面向轨道交通应用场景的。出题：中共连云港市委宣传部  推荐：江苏学习平台  A、3G转储系统  B、4G转储系统  C、5G转储系统  "	"C5G转储系统"
"  216、以下诗句由王勃所作的是。  A、海上生明月天涯共此时。  B、海内存知己天涯若比邻。  C、红豆生南国春来发几枝。  D、君自故乡来应知故乡事。  "	"B海内存知己，天涯若比邻。"
"  217、2015年7月1日内蒙古政府新闻办公室召开新闻发布会向外界公布了内蒙古十大文化符号。以下是内蒙古文化符号的是。①马头琴②吊脚楼③敖包④唐卡绘画艺术出题：内蒙古鄂尔多斯市东胜区  推荐：内蒙古学习平台  A、①④  B、②③  C、①③  D、①②④  "	"C①③"
"  218、2008年神舟七号发射升空首次进行了太空行走。出题：山东科技报社  推荐：山东学习平台  A、杨利伟  B、翟志刚  C、费俊龙  D、景海鹏  "	"B翟志刚"
"  219、2019年《政府工作报告》指出过去一年国内生产总值增长6.6%总量突破亿元。出题：新疆兵团第四师党委宣传部  推荐：新疆兵团学习平台  A、80.8万  B、82.7万  C、90万  D、92.7万  "	"C90万"
"  220、根据2019年国家林业和草原局公布的第九次全国森林资源清查结果显示森林覆盖率为66.80%已连续40年位列全国第一。出题：福建学习平台  A、福建  B、贵州  C、江西  D、海南  "	"A福建"
"  221、地方志书每年左右编修一次。出题：重庆市委直属机关工委  推荐：重庆学习平台  A、5  B、10  C、20  D、30  "	"C20"
"  222、中国四大名面之一是也是武汉人过早武汉人将吃早餐叫做过早的首选小吃。出题：湖北广电长江云  推荐：湖北学习平台  A、豆腐面  B、热干面  C、凉面  "	"B热干面"
"  223、个人所得税专项附加扣除中住房贷款利息扣除期限最长不得超过个月。出题：重庆市委直属机关工委  推荐：重庆学习平台  A、120  B、180  C、240  D、300  "	"C240"
"  224、唐代阙楼作为礼制性建筑其最高等级为。出题：陕西历史博物馆  推荐：陕西学习平台  A、皇阙  B、三出阙  C、二出阙  D、龙凤阙  "	"B三出阙"
"  225、一切国家机关、武装力量、政党、社会团体、企事业单位和都有保守国家秘密的义务。出题：重庆市委直属机关工委  推荐：重庆学习平台  A、市民  B、人民  C、国民  D、公民  "	"D公民"
"  226、行百里半九十出自。出题：新疆兵团第五师双河市党委宣传部  推荐：新疆兵团学习平台  A、《离骚》  B、《战国策•秦策五》  C、《中庸》  "	"B《战国策•秦策五》"
"  227、《项脊轩志》有云三五之夜明月半墙三五指出题：新疆兵团第四师党委宣传部  推荐：新疆兵团学习平台  A、每隔三天或者五天  B、农历每月十五  C、农历三月初五  "	"B农历每月十五"
"  228、根据《消防法》的规定消防组织应履行职能。出题：山东省消防总队  推荐：山东学习平台  A、火灾预防  B、火灾扑救  C、应急救援  D、以上都是  "	"D以上都是"
"  229、中国红十字会发起人沈敦和先生先后创办了数家医院其中有一家创建于1907年的中国红十字会总医院暨医学堂即现在的。出题：复旦大学附属华山医院  推荐：上海学习平台  A、北京大学人民医院  B、复旦大学附属华山医院  C、中南大学湘雅医院  "	"B复旦大学附属华山医院"
"  230、1972-1974年考古工作者先后在湖南长沙发掘了3座西汉时期墓葬。被命名为的这批墓葬结构宏伟复杂完整出土丝织品、帛书、帛画、中草药等重要文物3000余件。出题：中共长沙市委党史研究室  推荐：湖南学习平台  A、三星堆遗址  B、曾侯乙墓  C、马王堆汉墓  D、海昏侯墓  "	"C马王堆汉墓"
"  231、苟利于民不必法古；苟周于事不必循旧。出自《》。出题：淮南师范学院党委宣传部  A、淮南子  B、论语  C、孟子  D、荀子  "	"A淮南子"
"  232、下列哪个血压值属于高血压。出题：武汉大学  推荐：湖北学习平台  A、120/80 mmHg  B、130/80 mmHg  C、145/90 mmHg  D、85/60 mmHg  "	"C145/90"
"  233、是中华人民共和国的根本制度。出题：中共连云港市委宣传部  推荐：江苏学习平台  A、民主集中制度  B、人民代表大会制度  C、社会主义制度  D、民主专政制度  "	"C社会主义制度"
"  234、苏州古典园林吸收了江南园林建筑艺术的精华其中狮子林、沧浪亭、留园和统称为苏州四大名园。出题：苏州市教育局  推荐：江苏学习平台  A、虎丘  B、怡园  C、拙政园  D、耦园  "	"C拙政园"
"  235、大运河淮安至扬州间的淮扬运河又称。出题：江苏省扬州市江都区委宣传部  推荐：江苏学习平台  A、中运河  B、里运河  C、南运河  D、泇运河  "	"B里运河"
"  236、2016年11月29日习近平总书记在纪念朱德同志诞辰130周年座谈会上提到在朱德同志青年时期他就表达了祖国安危人有责冲天壮志付飞鹏的远大志向。1909年他离开家乡远赴昆明云南陆军讲武堂求学前又立下志士恨无穷孤身走西东。投笔去刷新旧国风的誓言。  A、报国  B、从军  C、从戎  D、杀敌  "	"C从戎"
"  237、唐代壁画中常见胡服胡服最早由引入中原。出题：陕西历史博物馆 推荐：陕西学习平台  A、汉灵帝  B、北魏孝文帝  C、隋文帝  D、赵武灵王  "	"D赵武灵王"
"  238、相对传统打印方式3D打印的优点是。出题：中国科普研究所  A、可用任何材料生产物品  B、大批量生产聚合物产品  C、可取代规模化的工业生产  D、满足少量化、个性化生产需求  "	"D满足少量化、个性化生产需求"
"  239、江南自古富庶地风流才子美名扬江南四大才子是、、、。出题：江苏苏净集团有限公司  推荐：江苏学习平台  A、唐伯虎、祝枝山、文征明、周文宾  B、唐伯虎、祝枝山、文征明、沈周  C、唐伯虎、祝枝山、文征明、徐祯卿  D、唐伯虎、祝枝山、周文宾、徐祯卿  "	"C唐伯虎、祝枝山、文征明、徐祯卿"
"  240、地震发生时身处高楼下列选项中正确的自救防护措施是。出题：国家应急广播  A、立刻向外跑乘电梯下楼  B、蹲到外墙窗户旁躲避找机会跳楼逃生  C、把靠垫举在头顶蹲到坚固的桌子下面护好头部  D、躲到吊柜下方  "	"C把靠垫举在头顶，蹲到坚固的桌子下面，护好头部"
"  241、东晋时期的道教学者、著名炼丹家、医药学家    所著的《抱朴子》是现存的主要道教典籍之一。出题：山东科技报社  推荐：山东学习平台  A、张陵  B、魏伯阳  C、葛洪  D、陶弘景  "	"C葛洪"
"  242、《中华人民共和国反恐怖主义法》规定公安机关调查恐怖活动嫌疑有权向有关单位和个人收集、调取相关信息和材料。有关单位和个人。出题：司法部  全国普法办  A、应当如实提供  B、有权拒绝  C、可根据情况决定是否提供  D、有条件的提供  "	"A应当如实提供"
"  243、科学共同体是。出题：中国科普研究所  A、由科学观念相同的科学家所组成的集合体  B、一个具体的和实体的组织或机构  C、全体科技工作者共同构成唯一的最大的科学共同体  D、每个科技工作者是自由的不一定遵守科学共同体的所有约束  "	"A由科学观念相同的科学家所组成的集合体"
"  244、金末至大蒙古国时期著名文学家、历史学家元好问的名句问世间情为何物直教生死相许描写的是。出题：南开大学文学院  A、恋人  B、鸳鸯  C、狐狸  D、大雁  "	"D大雁"
"  245、2018年11月5日国家主席习近平出席首届中国国际进口博览会开幕式并发表主旨演讲时指出将支持并上升为国家战略。出题：苏州市吴江区委宣传部  推荐：江苏学习平台  A、粤港澳大湾区建设  B、长江三角洲区域一体化发展  C、京津冀协同发展  "	"B长江三角洲区域一体化发展"
"  246、不惑之年指的是。出题：中共海安市委宣传部  推荐：江苏学习平台  A、二十岁  B、三十岁  C、四十岁  D、五十岁  "	"C四十岁"
"  247、主持修建我国首条铁路——京张铁路的工程师是。出题：山东科技报社  推荐：山东学习平台  A、康有为  B、王梦恕  C、詹天佑  D、梁思成  "	"C詹天佑"
"  248、2018年8月21日至22日习近平总书记在全国宣传思想工作会议上指出要扎实抓好县级融媒体中心建设更好。出题：中共湖南省浏阳市委宣传部  推荐：湖南学习平台  A、讲好中国故事、传播好中国声音  B、创新宣传理念、创新运行机制  C、唱响主旋律、壮大正能量  D、引导群众、服务群众  "	"D引导群众、服务群众"
"  249、《中华人民共和国国家安全法》规定开展情报信息工作应当充分运用加强对情报信息的鉴别、筛选、综合和研判分析。出题：司法部全国普法办  A、现代科学技术手段  B、高科技手段  C、秘密手段  D、智能手段  "	"A现代科学技术手段"
"  250、2018年5月2日习近平总书记在北京大学师生座谈会上的讲话中引用词句乘风好去长空万里直下看山河。此词句出自辛弃疾的《太常引•建康中秋夜为吕叔潜赋》太常引是这首词的。  A、标题  B、小序  C、词牌  D、曲牌  "	"C词牌"
"  251、油锅过热容易着火当油锅起火时下列应对措施错误的是。出题：国家应急广播  A、用浸湿后拧干的大毛巾、抹布盖住油锅和灶台  B、以平移的方式盖上锅盖  C、关上抽油烟机、灶具开关  D、立刻大量浇水  "	"D立刻大量浇水"
"  252、中央经济工作会议2018年12月19日至21日在北京举行会议指出打好污染防治攻坚战要坚守阵地、巩固成果聚焦做好打赢等工作加大工作和投入力度同时要统筹兼顾避免处置措施简单粗暴。  A、脱贫攻坚战  B、防范化解重大风险攻坚战  C、蓝天保卫战  "	"C蓝天保卫战"
"  253、严格来说我国唐三彩属于技术。出题：山东科技报社  推荐：山东学习平台  A、制陶  B、纺纱  C、冶铁  D、造房  "	"A制陶"
"  254、故人西辞黄鹤楼烟花三月下扬州。孤帆远影碧空尽唯见长江天际流是唐代诗人的诗作。出题：江苏省扬州市生态科技新城  推荐：江苏学习平台  A、李白  B、孟浩然  C、杜甫  D、刘禹锡  "	"A李白"
"  255、北宋诗人王安石写有《泊船瓜洲》一诗：京口瓜洲一水间钟山只隔数重山。春风又绿江南岸明月何时照我还。诗中京口是现在的古称。  A、扬州  B、南京  C、镇江  D、常州  "	"C镇江"
"  256、语不惊人死不休出自唐代杜甫的《江上值水如海势聊短述》其体裁是。  A、词  B、绝句  C、律诗  D、散文  "	"C律诗"
"  257、经济体制改革是全面深化改革的重点其核心问题是。  A、处理好政府和市场关系  B、处理好竞争和垄断的关系  C、处理好积累与消费的关系  "	"A处理好政府和市场关系"
"  258、我国总是朝东发射卫星和飞船的原因是。出题：山东科技报社  推荐：山东学习平台  A、因为中国处于亚洲东方  B、因为太阳从东方升起  C、可利用地球自西向东自转的地速  D、可使分离的整流罩和箭体落在国内  "	"C可利用地球自西向东自转的地速"
"  259、军事名言将在外君命有所不受出自。出题：中共吉林省委宣传部  推荐：吉林学习平台  A、《吴子兵法》  B、《孙子兵法》  C、《孙膑兵法》  D、《尉缭子兵法》  "	"B《孙子兵法》"
"  260、2019年3月15日第十三届全国人民代表大会第二次会议表决通过了。出题：中共连云港市委宣传部  推荐：江苏学习平台  A、《中华人民共和国物权法》  B、《中华人民共和国国家安全法》  C、《中华人民共和国外商投资法》  D、《中华人民共和国反分裂国家法》  "	"C《中华人民共和国外商投资法》"
"  261、位于福建省东北翼沿海是中国大黄鱼之乡、国家园林城市素有海上天湖佛国仙都百里画廊之美誉的城市是    。出题：福建学习平台  A、宁德  B、莆田  C、泉州  D、漳州  "	"A宁德"
"  262、一个研究全天气温变化的实验中自变量和因变量各是。出题：中国科普研究所  A、自变量是实验员因变量是一天中的时间  B、自变量和因变量都是一天中的时间  C、自变量是温度因变量是一天中的时间  D、自变量是一天中的时间因变量是温度  "	"D自变量是一天中的时间，因变量是温度"
"  263、以下选项中比喻新出现的有一定积淀积累的人事物等推动旧的人事物等的在某方面的发展等情况。出题：中共连云港市委宣传部  推荐：江苏学习平台  A、长江后浪推前浪  B、任尔东西南北风  C、总把新桃换旧符  D、万紫千红总是春  "	"A长江后浪推前浪"
"  264、驾驶机动车在高速公路上行驶遇有雾、雨、雪、沙尘、冰雹等低能见度气象条件时应当从最近的出口尽快驶离高速公路。出题：公安部交通管理局  A、能见度小于50米时  B、能见度小于100米时  C、能见度小于200米时  D、能见度小于500米时  "	"A能见度小于50米时"
"  265、我国海军第一艘装备有防空导弹的军舰是。出题：泰州广播电视台  推荐：江苏学习平台  A、鹰潭号  B、铜陵号  C、鞍山号  D、宜昌号  "	"A鹰潭号"
"  266、干gàn细胞是指。出题：科技部引智司  A、已经脱水的细胞  B、具有自我更新能力并且可以分化为其它类型细胞的种子细胞  C、胚胎  D、肝脏来源的细胞  "	"B具有自我更新能力，并且可以分化为其它类型细胞的“种子”细胞"
"  267、风来满眼春花城柳暗愁杀人请选择正确的词补全诗句。  A、东方  B、西方  C、南方  D、北方  "	"A东方"
"  268、北宋发明的活字印刷术比欧洲早400年。出题：山东科技报社  推荐：山东学习平台  A、蔡伦  B、毕昇  C、沈括  D、王祯  "	"B毕昇"
"  269、宪法的修改由全国人民代表大会常务委员会或者五分之一以上的全国人民代表大会代表提议并由全国人民代表大会以全体代表的以上的多数通过。出题：中共连云港市委宣传部  推荐：江苏学习平台  A、四分之三  B、三分之二  C、五分之四  D、二分之一  "	"B三分之二"
"  270、习近平总书记在一次讲话中引用了明代官员陈诚的诗句绿野草铺茵空山雪积银。四时常觉冷六月不知春写的是的景色。  A、北欧  B、北极  C、中亚  D、西伯利亚  "	"C中亚"
"  271、人生得一知己足矣斯世当以同怀视之。这是鲁迅以清人何瓦琴的联句书赠的条幅。鲁迅一直视之为肝胆相照、同心同德的朋友和同志。出题：中共上海市虹口区委党校  推荐：上海学习平台  A、茅盾  B、冯雪峰  C、瞿秋白  D、胡风  "	"C瞿秋白"
"  272、下列不属于个人所得税专项附加扣除项目。出题：重庆市委直属机关工委  推荐：重庆学习平台  A、子女教育  B、继续教育  C、住房公积金  D、大病医疗  "	"C住房公积金"
"  273、为纪念辛亥革命一百年我国邮政部门发行了邮票和小型张小型张上革命先驱孙中山先生题写的建国方略是。出题：中共武汉市委宣传部  推荐：湖北学习平台  A、天下为公  B、自由博爱  C、一心为公  D、民主自由  "	"A天下为公"
"  274、2018年11月26日习近平总书记在十九届中央政治局第十次集体学习时指出我们党历来强调德才兼备并强调以德为先。德包括政治品德、职业道德、社会公德、家庭美德等干部在这些方面都要过硬最重要的是    要过得硬。《论语》中说要修己以敬、修己以安人、修己以安百姓对我们共产党人来说修己最重要是修政治道德。  A、政治品德  B、职业道德  C、社会公德  D、家庭美德  "	"A政治品德"
"  275、党执政后的最大危险是。出题：武汉大学  推荐：湖北学习平台  A、能力不足  B、脱离群众  C、消极腐败  D、精神懈怠  "	"B脱离群众"
"  276、党支部党员大会是党支部的议事决策机构由全体党员参加一般召开1次。出题：中共上海市委宣传部  推荐：上海学习平台  A、每个月  B、每季度  C、每年  "	"B每季度"
"  277、面粉生产车间严禁吸烟的主要原因是。出题：中国科普研究所  A、防止爆炸  B、防止火灾  C、保护环境  D、保护工人免受尼古丁危害  "	"A防止爆炸"
"  278、秦统一全国后统一货币的名称为。出题：陕西历史博物馆  推荐：陕西学习平台  A、半两钱  B、五铢钱  C、刀币  D、布币  "	"A半两钱"
"  279、使用灭火器进行灭火的最佳位置是。出题：应急管理部消防救援局  A、下风位置  B、上风或侧风位置  C、离起火点10米以上位置  "	"B上风或侧风位置"
"  280、三月不知肉味原为孔子用来形容的独特魅力。出题：中共连云港市委宣传部  推荐：江苏学习平台  A、诗歌  B、音乐  C、小说  D、散文  "	"B音乐"
"  281、任何人发现火灾都应当立即报警。任何单位、个人都应当为报警提供便利不得阻拦报警。出题：山东省消防总队  推荐：山东学习平台  A、无偿  B、有偿  C、自愿  D、自觉  "	"A无偿"
"  282、水上遇险求救电话号是。出题：河北海事局  推荐：河北学习平台  A、12395  B、12935  C、13925  D、110  "	"A12395"
"  283、1941年3月八路军三五九旅在旅长的率领下在南泥湾开展大生产运动。出题：中共延安市委理论讲师团  推荐：陕西学习平台  A、王震  B、许世友  C、粟裕  D、萧克  "	"A王震"
"  284、除四害讲卫生是我国爱国卫生运动的重点工作其中四害指的是四种能够传播各类传染性疾病的卫生有害生物。出题：北京市卫生健康委员会  推荐：北京学习平台  A、蚊虫-苍蝇-麻雀-蜱虫  B、蚊虫-苍蝇-蜱虫-老鼠  C、蚊虫-苍蝇-老鼠-蟑螂  "	"C蚊虫-苍蝇-老鼠-蟑螂"
"  285、三五步走遍天下七八人百万雄兵咫尺地五湖四海几更时万古千秋这些诗句是中国传统艺术特征的描述。出题：山东科技报社  推荐：山东学习平台  A、魔术  B、绘画  C、戏曲  D、杂技  "	"C戏曲"
"  286、2014年5月26日习近平总书记在十八届中共中央政治局第十五次集体学习时强调党的十八届三中全会将市场在资源配置中起基础性作用修改为起。出题：中国人民大学  A、关键性作用  B、决定性作用  C、核心性作用  "	"B决定性作用"
"  287、5000年的中华文明孕育着丰富的生态智慧。子钓而不纲弋不射宿的提出者是  A、孔子  B、荀子  C、墨子  "	"A孔子"
"  288、地处闽、浙、赣三省交界处俗称闽北拥有入选第三批国家级非物质文化遗产名录的建窑建盏烧制技艺的城市是。出题：福建学习平台  A、龙岩  B、南平  C、宁德  D、漳州  "	"B南平"
"  289、纳税人赡养一位及以上被赡养人的赡养支出纳税人为独生子女的按照每月元的标准定额扣除。出题：重庆市委直属机关工委  推荐：重庆学习平台  A、1000  B、1200  C、1500  D、2000  "	"D2000"
"  290、《中华人民共和国劳动法》实施于。出题：中共连云港市委宣传部  推荐：江苏学习平台  A、1994年1月1日  B、1994年7月5日  C、1995年1月1日  D、1995年7月5日  "	"C1995年1月1日"
"  291、根据《国家突发公共事件新闻发布应急预案》新闻及公众信息发布应急响应分为四级发生特别重大突发公共事件时启动新闻及公众信息发布响应。出题：中共黄浦区委宣传部  推荐：上海学习平台  A、I级  B、II级  C、III级  D、IV级  "	"AI级"
"  292、秦统一全国后统一的标准文字是。出题：陕西历史博物馆  推荐：陕西学习平台  A、隶书  B、大篆  C、小篆  D、金文  "	"C小篆"
"  293、中国一词最早的文字记载见于哪件青铜器出题：武汉大学  推荐：湖北学习平台  A、司母戊鼎  B、四羊方尊  C、何尊  D、长信宫灯  "	"C何尊"
"  294、驾驶机动车上道路行使以下选项中会被扣留车辆的情形是。出题：公安部交通管理局  A、逆向行驶  B、未悬挂机动车号牌  C、未按规定使用安全带  D、未安装防撞装置  "	"B未悬挂机动车号牌"
"  295、中国第一篇区域地理著作被李约瑟称之为中国历史上最早出现的自然地理考察著作的是。出题：山东科技报社  推荐：山东学习平台  A、《尚书•尧典》  B、《尚书•禹贡》  C、《尚书•皋陶谟》  D、《尚书•顾命》  "	"B《尚书•禹贡》"
"  296、银河1号是我国第一台超级计算机银河1号于年研制完成。出题：上海超级计算中心  推荐：上海学习平台  A、1981年  B、1983年  C、1985年  "	"B1983年"
"  297、可以设置政法委员会的党组织不包括是。出题：中共连云港市委宣传部  推荐：江苏学习平台  A、省委  B、县委  C、市委  D、乡镇街道党委  "	"D乡镇（街道）党委"
"  298、当光从一种介质穿到另一种介质中时它会。出题：中国科普研究所  A、改变方向  B、改变速度  C、发生偏折非垂直入射  D、以上全是  "	"D以上全是"
"  299、燃烧是一种发热发光的。出题：应急管理部消防救援局  A、化学反应  B、物理反应  C、光电反应  "	"A化学反应"
"  300、苏州历来被许多文人墨客所称颂下列人物中不出自苏州。出题：常熟理工学院化学与材料工程学院  推荐：江苏学习平台  A、顾炎武  B、唐寅  C、黄公望  D、陈实功  "	"D陈实功"
"  301、DNA分子的结构是。出题：山东科技报社  推荐：山东学习平台  A、线型结构  B、双螺旋结构  C、环状结构  D、带状结构  "	"B双螺旋结构"
"  302、橘生淮南则为橘生于淮北则为枳。出自。出题：淮南师范学院党委宣传部  A、《春秋》  B、《左传》  C、《吕氏春秋》  D、《晏子春秋》  "	"D《晏子春秋》"
"  303、是人们认识世界、改造世界的重要工具是推动历史发展和社会进步的重要力量其发展水平反映了一个民族的思维能力、精神品格、文明素质体现了一个国家的综合国力和国际竞争力。出题：中共新疆维吾尔自治区委员会党校行政学院 推荐：新疆学习平台  A、哲学社会科学  B、自然科学  C、社会科学  "	"A哲学社会科学"
"  304、中国旅游日是。出题：上海市奉贤区投资促进办公室  推荐：上海学习平台  A、6月21日  B、5月19日  C、8月21日  "	"B5月19日"
"  305、2018年1月5日习近平总书记在学习贯彻党的十九大精神研讨班开班式上的讲话指出在统揽伟大斗争、伟大工程、伟大事业、伟大梦想中起决定性作用的是新时代。  A、中国特色社会主义伟大事业  B、党的建设新的伟大工程  C、中华民族复兴的伟大梦想  "	"B党的建设新的伟大工程"
"  306、最早采用人工呼吸方法救人的医学家是。出题：山东科技报社  推荐：山东学习平台  A、扁鹊  B、华佗  C、张仲景  D、王叔和  "	"C张仲景"
"  307、咬定青山不放松立根原在破岩中。千磨万击还坚劲任尔东西南北风描写的植物是。  A、松树  B、野草  C、竹子  D、柏树  "	"C竹子"
"  308、关于科学和技术下列说法不正确的是。出题：中国科普研究所  A、科学是如实反映客观事物及其运动变化规律的系统知识  B、技术的目标是利用自然规律来改造和利用自然  C、科学活动以发明为核心技术活动以发现为核心  D、科学与技术之间既有联系又有差异  "	"C科学活动以发明为核心，技术活动以发现为核心"
"  309、国家保密行政管理部门主管全国的保密工作。级以上地方各级保密行政管理部门主管本行政区域的保密工作。出题：重庆市委直属机关工委  推荐：重庆学习平台  A、省  B、市  C、县  D、乡  "	"C县"
"  310、2018年4月13日与法国科学家安娜•德尚、于克•德戴共同在瑞典首都斯德哥尔摩获得舍贝里奖的中国科学家是。出题：中共吉林省委宣传部  推荐：吉林学习平台  A、朱艳  B、卢艳丽  C、陶晓明  D、陈竺  "	"D陈竺"
"  311、治贫先治愚扶贫先扶智。是阻断贫困代际传递的治本之策。  A、教育  B、就业  C、搬迁  "	"A教育"
"  312、我国的民族自治地方指。出题：中共连云港市委宣传部  推荐：江苏学习平台  A、自治区、自治县  B、自治区、自治州、自治县  C、自治区、自治州、民族乡  D、自治州、自治县  "	"B自治区、自治州、自治县"
"  313、重庆市下列区县被誉为龙灯之乡的是。出题：重庆市委直属机关工委 推荐：重庆学习平台  A、铜梁  B、垫江  C、石柱  D、云阳  "	"A铜梁"
"  314、我国元代科学家郭守敬主要贡献在方面。出题：山东科技报社  推荐：山东学习平台  A、农学  B、植物学  C、药物学  D、天文学  "	"D天文学"
"  315、一个纳税年度内纳税人发生的与基本医保相关的医药费用支出扣除医保报销后个人负担是指医保目录范围内的自付部分累计超过元的部分由纳税人在办理年度汇算清缴时在80000元限额内据实扣除。出题：重庆市委直属机关工委  推荐：重庆学习平台  A、5000  B、10000  C、15000  D、20000  "	"C15000"
"  316、相知无远近万里尚为邻是唐代张九龄的诗作这首诗的题材是。  A、咏史诗  B、送别诗  C、咏怀诗  D、闺怨诗  "	"B送别诗"
"  317、最古之史实为方志是提出的。出题：重庆市委直属机关工委  推荐：重庆学习平台  A、章学诚  B、梁启超  C、康有为  D、毛泽东  "	"B梁启超"
"  318、1937年事变爆发全面抗战由此开始。出题：西北工业大学人文与经法学院  推荐：陕西学习平台  A、九一八  B、一二八  C、华北  D、卢沟桥  "	"D卢沟桥"
"  319、集成电路自1959年被发明以来其发展的总趋势是：在单位面积的芯片上集成的电子元件越来越多而连接这些元器件的线宽却越来越窄。集成电路现在正在向更窄的线宽迈进。如我国华为公司设计的手机芯片麒麟980就采用了纳米的最新工艺。出题：科学普及出版社  A、10  B、7  C、5  "	"B7"
"  320、人们称妇女为巾帼的原因是。出题：常熟理工学院  推荐：江苏学习平台  A、古代妇女的头巾和发饰  B、妇女善于织造  C、源于一个叫巾帼的女子的典故  D、源于一个叫巾帼的地方  "	"A古代妇女的头巾和发饰"
"  321、1920年秋到1921年春李大钊、张国焘等在北京董必武、陈潭秋、包惠僧等在武汉毛泽东、何叔衡等在王尽美、邓恩铭等在济南谭平山、谭植棠等在广州以不同名称成立了中国共产党早期组织。出题：中共长沙市党委党史研究室  推荐：湖南学习平台  A、太原  B、长沙  C、厦门  D、天津  "	"B长沙"
"  322、李白有诗云：朝辞白帝彩云间千里江陵一日还。两岸猿声啼不住轻舟已过万重山。诗中描写的白帝城位于。出题：重庆市委直属机关工委 推荐：重庆学习平台  A、巫山县  B、巫溪县  C、云阳县  D、奉节县  "	"D奉节县"
